imputation,scaling,mean_auc,std_auc
median,standard,0.7626373626373627,0.07819976648200969
median,pareto,0.7626373626373627,0.07819976648200969
median,vast,0.7626373626373627,0.07819976648200969
median,none,0.7626373626373627,0.07819976648200969
knn,standard,0.7626373626373627,0.07819976648200969
knn,pareto,0.7626373626373627,0.07819976648200969
knn,vast,0.7626373626373627,0.07819976648200969
knn,none,0.7626373626373627,0.07819976648200969
