Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
AFMM_1_070	Extraction	methanol with partial internal standards		AFMM_1_070	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_070		Data transformation	AFMM_1_070	FILES/DERIVED_FILES/20220622_P244_AFMM_1_070.mzML	Metabolite identification	AFMM_1_070	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_074	Extraction	methanol with partial internal standards		AFMM_1_074	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_074		Data transformation	AFMM_1_074	FILES/DERIVED_FILES/20220622_P244_AFMM_1_074.mzML	Metabolite identification	AFMM_1_074	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_077	Extraction	methanol with partial internal standards		AFMM_1_077	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_077		Data transformation	AFMM_1_077	FILES/DERIVED_FILES/20220622_P244_AFMM_1_077.mzML	Metabolite identification	AFMM_1_077	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_078	Extraction	methanol with partial internal standards		AFMM_1_078	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_078		Data transformation	AFMM_1_078	FILES/DERIVED_FILES/20220622_P244_AFMM_1_078.mzML	Metabolite identification	AFMM_1_078	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_079	Extraction	methanol with partial internal standards		AFMM_1_079	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_079		Data transformation	AFMM_1_079	FILES/DERIVED_FILES/20220622_P244_AFMM_1_079.mzML	Metabolite identification	AFMM_1_079	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_084	Extraction	methanol with partial internal standards		AFMM_1_084	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_084		Data transformation	AFMM_1_084	FILES/DERIVED_FILES/20220622_P244_AFMM_1_084.mzML	Metabolite identification	AFMM_1_084	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_098	Extraction	methanol with partial internal standards		AFMM_1_098	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_098		Data transformation	AFMM_1_098	FILES/DERIVED_FILES/20220622_P244_AFMM_1_098.mzML	Metabolite identification	AFMM_1_098	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_100	Extraction	methanol with partial internal standards		AFMM_1_100	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_100		Data transformation	AFMM_1_100	FILES/DERIVED_FILES/20220622_P244_AFMM_1_100.mzML	Metabolite identification	AFMM_1_100	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_009	Extraction	methanol with partial internal standards		AFMM_3_009	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_009		Data transformation	AFMM_3_009	FILES/DERIVED_FILES/20220622_P244_AFMM_3_009.mzML	Metabolite identification	AFMM_3_009	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_011	Extraction	methanol with partial internal standards		AFMM_3_011	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_011		Data transformation	AFMM_3_011	FILES/DERIVED_FILES/20220622_P244_AFMM_3_011.mzML	Metabolite identification	AFMM_3_011	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_016	Extraction	methanol with partial internal standards		AFMM_3_016	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_016		Data transformation	AFMM_3_016	FILES/DERIVED_FILES/20220622_P244_AFMM_3_016.mzML	Metabolite identification	AFMM_3_016	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_024	Extraction	methanol with partial internal standards		AFMM_3_024	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_024		Data transformation	AFMM_3_024	FILES/DERIVED_FILES/20220622_P244_AFMM_3_024.mzML	Metabolite identification	AFMM_3_024	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_029	Extraction	methanol with partial internal standards		AFMM_3_029	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_029		Data transformation	AFMM_3_029	FILES/DERIVED_FILES/20220622_P244_AFMM_3_029.mzML	Metabolite identification	AFMM_3_029	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_031	Extraction	methanol with partial internal standards		AFMM_3_031	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_031		Data transformation	AFMM_3_031	FILES/DERIVED_FILES/20220622_P244_AFMM_3_031.mzML	Metabolite identification	AFMM_3_031	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_037	Extraction	methanol with partial internal standards		AFMM_3_037	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_037		Data transformation	AFMM_3_037	FILES/DERIVED_FILES/20220622_P244_AFMM_3_037.mzML	Metabolite identification	AFMM_3_037	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_043	Extraction	methanol with partial internal standards		AFMM_3_043	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_043		Data transformation	AFMM_3_043	FILES/DERIVED_FILES/20220622_P244_AFMM_3_043.mzML	Metabolite identification	AFMM_3_043	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_045	Extraction	methanol with partial internal standards		AFMM_3_045	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_045		Data transformation	AFMM_3_045	FILES/DERIVED_FILES/20220622_P244_AFMM_3_045.mzML	Metabolite identification	AFMM_3_045	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_063	Extraction	methanol with partial internal standards		AFMM_3_063	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_063		Data transformation	AFMM_3_063	FILES/DERIVED_FILES/20220622_P244_AFMM_3_063.mzML	Metabolite identification	AFMM_3_063	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_065	Extraction	methanol with partial internal standards		AFMM_3_065	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_065		Data transformation	AFMM_3_065	FILES/DERIVED_FILES/20220622_P244_AFMM_3_065.mzML	Metabolite identification	AFMM_3_065	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_066	Extraction	methanol with partial internal standards		AFMM_3_066	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_066		Data transformation	AFMM_3_066	FILES/DERIVED_FILES/20220622_P244_AFMM_3_066.mzML	Metabolite identification	AFMM_3_066	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_072	Extraction	methanol with partial internal standards		AFMM_3_072	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_072		Data transformation	AFMM_3_072	FILES/DERIVED_FILES/20220622_P244_AFMM_3_072.mzML	Metabolite identification	AFMM_3_072	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_089	Extraction	methanol with partial internal standards		AFMM_3_089	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_089		Data transformation	AFMM_3_089	FILES/DERIVED_FILES/20220622_P244_AFMM_3_089.mzML	Metabolite identification	AFMM_3_089	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_093	Extraction	methanol with partial internal standards		AFMM_3_093	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_093		Data transformation	AFMM_3_093	FILES/DERIVED_FILES/20220622_P244_AFMM_3_093.mzML	Metabolite identification	AFMM_3_093	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_094	Extraction	methanol with partial internal standards		AFMM_3_094	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_094		Data transformation	AFMM_3_094	FILES/DERIVED_FILES/20220622_P244_AFMM_3_094.mzML	Metabolite identification	AFMM_3_094	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_096	Extraction	methanol with partial internal standards		AFMM_3_096	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_096		Data transformation	AFMM_3_096	FILES/DERIVED_FILES/20220622_P244_AFMM_3_096.mzML	Metabolite identification	AFMM_3_096	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_104	Extraction	methanol with partial internal standards		AFMM_3_104	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_104		Data transformation	AFMM_3_104	FILES/DERIVED_FILES/20220622_P244_AFMM_3_104.mzML	Metabolite identification	AFMM_3_104	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_106	Extraction	methanol with partial internal standards		AFMM_3_106	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_106		Data transformation	AFMM_3_106	FILES/DERIVED_FILES/20220622_P244_AFMM_3_106.mzML	Metabolite identification	AFMM_3_106	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_FSY_1_03	Extraction	methanol with partial internal standards		AFMM_FSY_1_03	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_FSY_1_03		Data transformation	AFMM_FSY_1_03	FILES/DERIVED_FILES/20220622_P244_AFMM_FSY_1_03.mzML	Metabolite identification	AFMM_FSY_1_03	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
