Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
AFMM_FSY_1_11	Extraction	methanol with partial internal standards		AFMM_FSY_1_11	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_FSY_1_11		Data transformation	AFMM_FSY_1_11	FILES/DERIVED_FILES/20220622_P244_AFMM_FSY_1_11.mzML	Metabolite identification	AFMM_FSY_1_11	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_FSY_1_15	Extraction	methanol with partial internal standards		AFMM_FSY_1_15	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_FSY_1_15		Data transformation	AFMM_FSY_1_15	FILES/DERIVED_FILES/20220622_P244_AFMM_FSY_1_15.mzML	Metabolite identification	AFMM_FSY_1_15	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_FSY_1_17	Extraction	methanol with partial internal standards		AFMM_FSY_1_17	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_FSY_1_17		Data transformation	AFMM_FSY_1_17	FILES/DERIVED_FILES/20220622_P244_AFMM_FSY_1_17.mzML	Metabolite identification	AFMM_FSY_1_17	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_FSY_1_26	Extraction	methanol with partial internal standards		AFMM_FSY_1_26	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_FSY_1_26		Data transformation	AFMM_FSY_1_26	FILES/DERIVED_FILES/20220622_P244_AFMM_FSY_1_26.mzML	Metabolite identification	AFMM_FSY_1_26	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_FSY_1_28	Extraction	methanol with partial internal standards		AFMM_FSY_1_28	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_FSY_1_28		Data transformation	AFMM_FSY_1_28	FILES/DERIVED_FILES/20220622_P244_AFMM_FSY_1_28.mzML	Metabolite identification	AFMM_FSY_1_28	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_FSY_1_29	Extraction	methanol with partial internal standards		AFMM_FSY_1_29	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_FSY_1_29		Data transformation	AFMM_FSY_1_29	FILES/DERIVED_FILES/20220622_P244_AFMM_FSY_1_29.mzML	Metabolite identification	AFMM_FSY_1_29	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_FSY_1_33	Extraction	methanol with partial internal standards		AFMM_FSY_1_33	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_FSY_1_33		Data transformation	AFMM_FSY_1_33	FILES/DERIVED_FILES/20220622_P244_AFMM_FSY_1_33.mzML	Metabolite identification	AFMM_FSY_1_33	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_FSY_1_36	Extraction	methanol with partial internal standards		AFMM_FSY_1_36	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_FSY_1_36		Data transformation	AFMM_FSY_1_36	FILES/DERIVED_FILES/20220622_P244_AFMM_FSY_1_36.mzML	Metabolite identification	AFMM_FSY_1_36	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_FSY_3_13	Extraction	methanol with partial internal standards		AFMM_FSY_3_13	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_FSY_3_13		Data transformation	AFMM_FSY_3_13	FILES/DERIVED_FILES/20220622_P244_AFMM_FSY_3_13.mzML	Metabolite identification	AFMM_FSY_3_13	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_FSY_3_34	Extraction	methanol with partial internal standards		AFMM_FSY_3_34	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_FSY_3_34		Data transformation	AFMM_FSY_3_34	FILES/DERIVED_FILES/20220622_P244_AFMM_FSY_3_34.mzML	Metabolite identification	AFMM_FSY_3_34	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_LNK_03	Extraction	methanol with partial internal standards		AFMM_LNK_03	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_LNK_03		Data transformation	AFMM_LNK_03	FILES/DERIVED_FILES/20220622_P244_AFMM_LNK_03.mzML	Metabolite identification	AFMM_LNK_03	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_LNK_05	Extraction	methanol with partial internal standards		AFMM_LNK_05	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_LNK_05		Data transformation	AFMM_LNK_05	FILES/DERIVED_FILES/20220622_P244_AFMM_LNK_05.mzML	Metabolite identification	AFMM_LNK_05	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_001	Extraction	methanol with partial internal standards		AFMM_1_001	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_001		Data transformation	AFMM_1_001	FILES/DERIVED_FILES/20220623_P244_AFMM_1_001.mzML	Metabolite identification	AFMM_1_001	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_002	Extraction	methanol with partial internal standards		AFMM_1_002	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_002		Data transformation	AFMM_1_002	FILES/DERIVED_FILES/20220623_P244_AFMM_1_002.mzML	Metabolite identification	AFMM_1_002	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_008	Extraction	methanol with partial internal standards		AFMM_1_008	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_008		Data transformation	AFMM_1_008	FILES/DERIVED_FILES/20220623_P244_AFMM_1_008.mzML	Metabolite identification	AFMM_1_008	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_012	Extraction	methanol with partial internal standards		AFMM_1_012	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_012		Data transformation	AFMM_1_012	FILES/DERIVED_FILES/20220623_P244_AFMM_1_012.mzML	Metabolite identification	AFMM_1_012	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_026	Extraction	methanol with partial internal standards		AFMM_1_026	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_026		Data transformation	AFMM_1_026	FILES/DERIVED_FILES/20220623_P244_AFMM_1_026.mzML	Metabolite identification	AFMM_1_026	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_028	Extraction	methanol with partial internal standards		AFMM_1_028	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_028		Data transformation	AFMM_1_028	FILES/DERIVED_FILES/20220623_P244_AFMM_1_028.mzML	Metabolite identification	AFMM_1_028	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_032	Extraction	methanol with partial internal standards		AFMM_1_032	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_032		Data transformation	AFMM_1_032	FILES/DERIVED_FILES/20220623_P244_AFMM_1_032.mzML	Metabolite identification	AFMM_1_032	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_038	Extraction	methanol with partial internal standards		AFMM_1_038	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_038		Data transformation	AFMM_1_038	FILES/DERIVED_FILES/20220623_P244_AFMM_1_038.mzML	Metabolite identification	AFMM_1_038	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_040	Extraction	methanol with partial internal standards		AFMM_1_040	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_040		Data transformation	AFMM_1_040	FILES/DERIVED_FILES/20220623_P244_AFMM_1_040.mzML	Metabolite identification	AFMM_1_040	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_041	Extraction	methanol with partial internal standards		AFMM_1_041	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_041		Data transformation	AFMM_1_041	FILES/DERIVED_FILES/20220623_P244_AFMM_1_041.mzML	Metabolite identification	AFMM_1_041	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_044	Extraction	methanol with partial internal standards		AFMM_1_044	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_044		Data transformation	AFMM_1_044	FILES/DERIVED_FILES/20220623_P244_AFMM_1_044.mzML	Metabolite identification	AFMM_1_044	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_049	Extraction	methanol with partial internal standards		AFMM_1_049	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_049		Data transformation	AFMM_1_049	FILES/DERIVED_FILES/20220623_P244_AFMM_1_049.mzML	Metabolite identification	AFMM_1_049	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_052	Extraction	methanol with partial internal standards		AFMM_1_052	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_052		Data transformation	AFMM_1_052	FILES/DERIVED_FILES/20220623_P244_AFMM_1_052.mzML	Metabolite identification	AFMM_1_052	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_055	Extraction	methanol with partial internal standards		AFMM_1_055	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_055		Data transformation	AFMM_1_055	FILES/DERIVED_FILES/20220623_P244_AFMM_1_055.mzML	Metabolite identification	AFMM_1_055	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_056	Extraction	methanol with partial internal standards		AFMM_1_056	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_056		Data transformation	AFMM_1_056	FILES/DERIVED_FILES/20220623_P244_AFMM_1_056.mzML	Metabolite identification	AFMM_1_056	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_060	Extraction	methanol with partial internal standards		AFMM_1_060	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_060		Data transformation	AFMM_1_060	FILES/DERIVED_FILES/20220623_P244_AFMM_1_060.mzML	Metabolite identification	AFMM_1_060	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_068	Extraction	methanol with partial internal standards		AFMM_1_068	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_068		Data transformation	AFMM_1_068	FILES/DERIVED_FILES/20220623_P244_AFMM_1_068.mzML	Metabolite identification	AFMM_1_068	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_085	Extraction	methanol with partial internal standards		AFMM_1_085	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_085		Data transformation	AFMM_1_085	FILES/DERIVED_FILES/20220623_P244_AFMM_1_085.mzML	Metabolite identification	AFMM_1_085	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_099	Extraction	methanol with partial internal standards		AFMM_1_099	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_099		Data transformation	AFMM_1_099	FILES/DERIVED_FILES/20220623_P244_AFMM_1_099.mzML	Metabolite identification	AFMM_1_099	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_102	Extraction	methanol with partial internal standards		AFMM_1_102	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_102		Data transformation	AFMM_1_102	FILES/DERIVED_FILES/20220623_P244_AFMM_1_102.mzML	Metabolite identification	AFMM_1_102	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_004	Extraction	methanol with partial internal standards		AFMM_3_004	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_004		Data transformation	AFMM_3_004	FILES/DERIVED_FILES/20220623_P244_AFMM_3_004.mzML	Metabolite identification	AFMM_3_004	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_013	Extraction	methanol with partial internal standards		AFMM_3_013	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_013		Data transformation	AFMM_3_013	FILES/DERIVED_FILES/20220623_P244_AFMM_3_013.mzML	Metabolite identification	AFMM_3_013	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_015	Extraction	methanol with partial internal standards		AFMM_3_015	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_015		Data transformation	AFMM_3_015	FILES/DERIVED_FILES/20220623_P244_AFMM_3_015.mzML	Metabolite identification	AFMM_3_015	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_018	Extraction	methanol with partial internal standards		AFMM_3_018	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_018		Data transformation	AFMM_3_018	FILES/DERIVED_FILES/20220623_P244_AFMM_3_018.mzML	Metabolite identification	AFMM_3_018	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_023	Extraction	methanol with partial internal standards		AFMM_3_023	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_023		Data transformation	AFMM_3_023	FILES/DERIVED_FILES/20220623_P244_AFMM_3_023.mzML	Metabolite identification	AFMM_3_023	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_3_025	Extraction	methanol with partial internal standards		AFMM_3_025	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_3_025		Data transformation	AFMM_3_025	FILES/DERIVED_FILES/20220623_P244_AFMM_3_025.mzML	Metabolite identification	AFMM_3_025	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
