imputation,scaling,mean_auc,std_auc
median,vast,0.7274725274725274,0.08495010149489095
knn,vast,0.7274725274725274,0.08495010149489095
knn,pareto,0.6835164835164835,0.11945211641055994
median,pareto,0.6835164835164835,0.11945211641055994
knn,none,0.6813186813186813,0.10834072566036254
median,none,0.6813186813186813,0.10834072566036254
median,standard,0.6725274725274726,0.1399363286130251
knn,standard,0.6725274725274726,0.1399363286130251
